Mindat_id,Deposit_type,age_category,litho_class,Latitude,Longitude,age_midpoint_ma,lithology_A_class,lithology_A_status,lithology_A_source
22091.0,Magmatic sulfide,Unknown,volcanic,22.75,33.6,,volcanic,resolved,Macrostrat_original
22183.0,Porphyry,Mesozoic,felsic,48.9947222222,-119.477777778,173.55,felsic,resolved,Macrostrat_original
22204.0,Porphyry,Mesozoic,felsic,48.6144444444,-120.381944444,88.5,felsic,resolved,Macrostrat_original
22531.0,Sediment-Hosted,Mesozoic,siliciclastic,38.3108333333,-108.948888889,220.0,siliciclastic,resolved,Macrostrat_original
22701.0,Sediment-Hosted,Unknown,other,34.5166666667,-99.55,,other,other,Macrostrat_original
22945.0,Porphyry,Cenozoic,volcanic,31.8708333333,-111.133333333,62.5,volcanic,resolved,Macrostrat_original
22987.0,VMS,Mesozoic,metamorphic,-54.829694444444,-68.395836111111,170.0,metamorphic,resolved,Macrostrat_original
23128.0,VMS,Paleozoic,metamorphic,64.626159,13.102498,470.0,metamorphic,resolved,Macrostrat_original
23197.0,VMS,Paleozoic,volcanic,37.638611111111,-6.8569444444444,320.0,volcanic,resolved,Macrostrat_original
23362.0,Porphyry,Cenozoic,other,-29.0,-67.75,4.4,other,other,Macrostrat_original
23365.0,VMS,Precambrian,mafic,54.856080555556,-99.941711111111,1800.0,mafic,resolved,Macrostrat_original
23547.0,VMS,Mesozoic,carbonate,41.36028851,44.44438468,86.0,carbonate,resolved,Macrostrat_original
24322.0,VMS,Paleozoic,unknown,0.0,0.0,415.0,unknown,unknown,Macrostrat_original
