Deposit_type,Macrostrat_lithology_status,count,group_total,percent_within_group,cohort,status_variable,grouping,continent_country,GLiM_lithology_status,age_status,coordinate_status
Sediment-Hosted,,8,14,57.142857142857146,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Oceania,other,,
Sediment-Hosted,,6,14,42.857142857142854,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Oceania,resolved,,
Sediment-Hosted,,4,10,40.0,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,South America,other,,
Sediment-Hosted,,6,10,60.0,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,South America,resolved,,
VMS,,2,2,100.0,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Africa,resolved,,
VMS,,22,90,24.444444444444443,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Asia,other,,
VMS,,67,90,74.44444444444444,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Asia,resolved,,
VMS,,1,90,1.1111111111111112,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Asia,unknown,,
VMS,,13,81,16.049382716049383,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Europe,other,,
VMS,,68,81,83.95061728395062,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Europe,resolved,,
VMS,,9,139,6.474820143884892,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,North America,other,,
VMS,,129,139,92.80575539568345,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,North America,resolved,,
VMS,,1,139,0.7194244604316546,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,North America,unknown,,
VMS,,9,23,39.130434782608695,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Oceania,other,,
VMS,,14,23,60.869565217391305,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Oceania,resolved,,
VMS,,1,6,16.666666666666668,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,South America,other,,
VMS,,5,6,83.33333333333333,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,South America,resolved,,
IOCG,,27,82,32.926829268292686,coordinate_valid_1237,age_status,Deposit_type,,,resolved,
IOCG,,55,82,67.07317073170732,coordinate_valid_1237,age_status,Deposit_type,,,unknown,
Magmatic sulfide,,46,81,56.79012345679013,coordinate_valid_1237,age_status,Deposit_type,,,resolved,
Magmatic sulfide,,35,81,43.20987654320987,coordinate_valid_1237,age_status,Deposit_type,,,unknown,
Porphyry,,493,595,82.85714285714286,coordinate_valid_1237,age_status,Deposit_type,,,resolved,
Porphyry,,102,595,17.142857142857142,coordinate_valid_1237,age_status,Deposit_type,,,unknown,
Sediment-Hosted,,104,138,75.3623188405797,coordinate_valid_1237,age_status,Deposit_type,,,resolved,
Sediment-Hosted,,34,138,24.63768115942029,coordinate_valid_1237,age_status,Deposit_type,,,unknown,
VMS,,302,341,88.56304985337243,coordinate_valid_1237,age_status,Deposit_type,,,resolved,
VMS,,39,341,11.436950146627566,coordinate_valid_1237,age_status,Deposit_type,,,unknown,
