Deposit_type,age_category,Latitude,Longitude,age_midpoint_ma,Mindat_id,Macrostrat_raw_lithology,Macrostrat_model_lithology,GLiM_raw_lithology,GLiM_model_lithology
VMS,Precambrian,48.3597222222,-79.0825,2700.0,25940,volcanic,volcanic,volcanic,volcanic
Porphyry,Mesozoic,44.123348392154,22.114625566226,85.69,25949,felsic,felsic,volcanic,volcanic
Magmatic sulfide,Unknown,-24.775342067169,27.350738258634,,25958,mafic,mafic,mafic,mafic
VMS,Paleozoic,47.3966666667,-66.1297222222,445.0,26138,mafic,mafic,volcanic,volcanic
Porphyry,Mesozoic,49.018733427287,104.12498717579,230.75,26155,volcanic,volcanic,volcanic,volcanic
VMS,Paleozoic,49.6,-56.0075,500.0,26201,mafic,mafic,volcanic,volcanic
Magmatic sulfide,Unknown,-20.332577642886,30.059181153774,,26314,mafic,mafic,metamorphic,metamorphic
IOCG,Unknown,-19.4478422436,133.818891957,,26538,metamorphic,metamorphic,other,other
Porphyry,Unknown,38.98351,-119.19408,,26686,felsic,felsic,felsic,felsic
Sediment-Hosted,Precambrian,-30.1766666667,139.279166667,630.0,26702,felsic,felsic,metamorphic,metamorphic
IOCG,Unknown,22.575,103.8,,27056,mafic,mafic,felsic,felsic
Porphyry,Mesozoic,44.3833333333,21.95,83.735,27162,carbonate,carbonate,carbonate,carbonate
Porphyry,Cenozoic,-26.4983333333,-69.3994444444,36.5,27221,other,other,volcanic,volcanic
Porphyry,Cenozoic,-26.2444444444,-69.5575,43.5,27227,other,other,felsic,felsic
Porphyry,Cenozoic,-4.0560167339,137.113198169,3.15,27261,other,other,metamorphic,metamorphic
VMS,Precambrian,19.983247964966,42.012391984463,1520.5,27717,volcanic,volcanic,metamorphic,metamorphic
VMS,Paleozoic,40.7333333333,-122.083333333,260.0,27934,felsic,felsic,volcanic,volcanic
Sediment-Hosted,Precambrian,-17.3758333333,30.0688888889,2095.5,28042,volcanic,volcanic,metamorphic,metamorphic
VMS,Mesozoic,38.2833328247,39.7666664124,83.0,28095,volcanic,volcanic,other,other
VMS,Mesozoic,35.074463,32.843125,105.5,28109,mafic,mafic,felsic,felsic
