source,seed,topic,rank,trimmed_family,full_family,same_at_rank
GLiM,42,7,8,Cu_carbonates_silicates,Pb_sulfides,False
GLiM,42,7,9,Zn_sulfides,Native_elements_misc,False
GLiM,42,7,10,Fe_oxides_hydroxides,Cu_sulfides_primary,False
GLiM,123,1,1,Fe_sulfides,Fe_sulfides,True
GLiM,123,1,2,Cu_sulfides_primary,Cu_sulfides_primary,True
GLiM,123,1,3,Zn_sulfides,Zn_sulfides,True
GLiM,123,1,4,Fe_oxides_hydroxides,Fe_oxides_hydroxides,True
GLiM,123,1,5,Pb_sulfides,Other_silicates,False
GLiM,123,1,6,Other_silicates,Ni_Co_sulfides_arsenides,False
GLiM,123,1,7,Quartz,Pb_sulfides,False
GLiM,123,1,8,Ni_Co_sulfides_arsenides,Quartz,False
GLiM,123,1,9,Carbonates,Carbonates,True
GLiM,123,1,10,Micas_sericite,Micas_sericite,True
GLiM,123,2,1,Cu_sulfides_supergene,Quartz,False
GLiM,123,2,2,Quartz,Cu_sulfides_supergene,False
GLiM,123,2,3,Carbonates,Carbonates,True
GLiM,123,2,4,Cu_carbonates_silicates,Cu_sulfides_primary,False
GLiM,123,2,5,Cu_sulfides_primary,Cu_carbonates_silicates,False
GLiM,123,2,6,Fe_oxides_hydroxides,Fe_sulfides,False
GLiM,123,2,7,Feldspars,Fe_oxides_hydroxides,False
GLiM,123,2,8,Native_elements_misc,Other_silicates,False
GLiM,123,2,9,Fe_sulfides,Native_elements_misc,False
GLiM,123,2,10,Au_Ag_native,Feldspars,False
GLiM,123,3,1,Fe_sulfides,Fe_sulfides,True
GLiM,123,3,2,Cu_sulfides_primary,Cu_sulfides_primary,True
GLiM,123,3,3,Micas_sericite,Micas_sericite,True
GLiM,123,3,4,Fe_oxides_hydroxides,Mo_sulfides,False
GLiM,123,3,5,Mo_sulfides,Fe_oxides_hydroxides,False
GLiM,123,3,6,Cu_sulfides_supergene,Cu_sulfides_supergene,True
GLiM,123,3,7,Skarn_calc_silicates,Skarn_calc_silicates,True
GLiM,123,3,8,Zn_sulfides,Zn_sulfides,True
GLiM,123,3,9,Pb_sulfides,Other_silicates,False
GLiM,123,3,10,Cu_carbonates_silicates,Pb_sulfides,False
GLiM,123,4,1,PGE_alloys_intermetallics,PGE_alloys_intermetallics,True
GLiM,123,4,2,As_Sb_Bi_sulfosalts,As_Sb_Bi_sulfosalts,True
GLiM,123,4,3,Sulfides_misc,Cu_sulfides_primary,False
GLiM,123,4,4,Fe_sulfides,Sulfides_misc,False
GLiM,123,4,5,Ni_Co_sulfides_arsenides,Fe_sulfides,False
GLiM,123,4,6,Skarn_calc_silicates,Native_elements_misc,False
GLiM,123,4,7,Native_elements_misc,Other_silicates,False
GLiM,123,4,8,Cu_sulfides_primary,Oxides_misc,False
GLiM,123,4,9,Other_silicates,Ni_Co_sulfides_arsenides,False
GLiM,123,4,10,Fe_oxides_hydroxides,Zn_sulfides,False
GLiM,123,5,1,Sulfides_misc,Fe_sulfides,False
GLiM,123,5,2,As_Sb_Bi_sulfosalts,Cu_sulfides_primary,False
GLiM,123,5,3,Mo_sulfides,Zn_sulfides,False
GLiM,123,5,4,Cu_carbonates_silicates,Fe_oxides_hydroxides,False
GLiM,123,5,5,Ni_Co_sulfides_arsenides,Cu_sulfides_supergene,False
GLiM,123,5,6,Cu_sulfides_other,Carbonates,False
GLiM,123,5,7,Au_Ag_native,Pb_sulfides,False
GLiM,123,5,8,Cu_sulfides_primary,Quartz,False
GLiM,123,5,9,Skarn_calc_silicates,Skarn_calc_silicates,True
GLiM,123,5,10,Other_silicates,Micas_sericite,False
GLiM,123,6,1,Cu_sulfides_primary,Zn_sulfides,False
GLiM,123,6,2,Pb_sulfides,Cu_sulfides_primary,False
GLiM,123,6,3,Zn_sulfides,Pb_sulfides,False
GLiM,123,6,4,Fe_sulfides,Fe_sulfides,True
GLiM,123,6,5,Barite,Quartz,False
GLiM,123,6,6,Quartz,Barite,False
GLiM,123,6,7,Micas_sericite,Ni_Co_sulfides_arsenides,False
GLiM,123,6,8,Au_Ag_native,Carbonates,False
GLiM,123,6,9,Carbonates,Fe_oxides_hydroxides,False
GLiM,123,6,10,Cu_sulfides_supergene,Au_Ag_native,False
GLiM,123,7,1,Cu_sulfides_primary,Ni_Co_sulfides_arsenides,False
GLiM,123,7,2,Mo_sulfides,Oxides_misc,False
GLiM,123,7,3,Pb_sulfides,Cu_sulfides_other,False
GLiM,123,7,4,Ni_Co_sulfides_arsenides,Sulfides_misc,False
GLiM,123,7,5,Fe_sulfides,Sulfates_other,False
GLiM,123,7,6,Carbonates,Zn_sulfides,False
GLiM,123,7,7,Oxides_misc,As_Sb_Bi_sulfosalts,False
GLiM,123,7,8,Skarn_calc_silicates,Native_elements_misc,False
GLiM,123,7,9,Micas_sericite,Pb_sulfides,False
GLiM,123,7,10,Au_Ag_native,Au_Ag_native,True
GLiM,7,1,1,Fe_sulfides,Fe_sulfides,True
GLiM,7,1,2,Cu_sulfides_primary,Cu_sulfides_primary,True
GLiM,7,1,3,Zn_sulfides,Zn_sulfides,True
GLiM,7,1,4,Fe_oxides_hydroxides,Fe_oxides_hydroxides,True
GLiM,7,1,5,Pb_sulfides,Other_silicates,False
GLiM,7,1,6,Other_silicates,Ni_Co_sulfides_arsenides,False
GLiM,7,1,7,Quartz,Pb_sulfides,False
GLiM,7,1,8,Ni_Co_sulfides_arsenides,Quartz,False
GLiM,7,1,9,Carbonates,Carbonates,True
GLiM,7,1,10,Micas_sericite,Micas_sericite,True
GLiM,7,2,1,Cu_sulfides_supergene,Quartz,False
GLiM,7,2,2,Quartz,Cu_sulfides_supergene,False
GLiM,7,2,3,Carbonates,Carbonates,True
GLiM,7,2,4,Cu_carbonates_silicates,Cu_sulfides_primary,False
GLiM,7,2,5,Cu_sulfides_primary,Cu_carbonates_silicates,False
GLiM,7,2,6,Fe_oxides_hydroxides,Fe_sulfides,False
GLiM,7,2,7,Feldspars,Fe_oxides_hydroxides,False
GLiM,7,2,8,Native_elements_misc,Other_silicates,False
GLiM,7,2,9,Fe_sulfides,Native_elements_misc,False
GLiM,7,2,10,Au_Ag_native,Feldspars,False
GLiM,7,3,1,Fe_sulfides,Fe_sulfides,True
GLiM,7,3,2,Cu_sulfides_primary,Cu_sulfides_primary,True
GLiM,7,3,3,Micas_sericite,Micas_sericite,True
GLiM,7,3,4,Fe_oxides_hydroxides,Fe_oxides_hydroxides,True
GLiM,7,3,5,Mo_sulfides,Mo_sulfides,True
GLiM,7,3,6,Cu_sulfides_supergene,Cu_sulfides_supergene,True
GLiM,7,3,7,Skarn_calc_silicates,Skarn_calc_silicates,True
GLiM,7,3,8,Zn_sulfides,Zn_sulfides,True
GLiM,7,3,9,Pb_sulfides,Other_silicates,False
GLiM,7,3,10,Cu_carbonates_silicates,Cu_carbonates_silicates,True
GLiM,7,4,1,PGE_alloys_intermetallics,PGE_alloys_intermetallics,True
GLiM,7,4,2,As_Sb_Bi_sulfosalts,Cu_sulfides_primary,False
GLiM,7,4,3,Sulfides_misc,Oxides_misc,False
GLiM,7,4,4,Fe_sulfides,As_Sb_Bi_sulfosalts,False
